date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2017-03-01,2.7458,0.46058577156208963,2.044,137.0843,137.4373,"Mar 1, 17",134.9318,135.2211,36414585,36414585,136.6537
2017-03-02,-0.813936,0.45191394875324564,-0.594,136.2704,137.5634,"Mar 2, 17",136.0742,137.2902,26210984,26210984,136.6884
2017-03-03,0.80413,0.4604813559538739,0.59,137.0745,137.1235,"Mar 3, 17",135.9075,136.0938,21571121,21571121,136.6998
2017-03-06,-0.431484,0.45588387279621806,-0.315,136.643,137.0647,"Mar 6, 17",135.9133,136.6675,21750044,21750044,136.4257
2017-03-07,0.176516,0.4577644192094887,0.129,136.8195,137.2706,"Mar 7, 17",136.1037,136.3684,17446297,17446297,136.7781
2017-03-08,-0.509935,0.45233161118610793,-0.373,136.3096,137.0941,"Mar 8, 17",136.1331,136.2606,18707236,18707236,136.5312
2017-03-09,-0.313806,0.4489881807924293,-0.23,135.9958,136.1037,"Mar 9, 17",134.3973,136.0546,22155904,22155904,135.6496
2017-03-10,0.451096,0.45379449516651627,0.332,136.4469,136.6598,"Mar 10, 17",135.9566,136.5548,19612801,19612801,136.382
2017-03-13,0.058839,0.4544209888158097,0.043,136.5057,136.7313,"Mar 13, 17",136.1331,136.1625,17421717,17421717,136.4321
2017-03-14,-0.205936,0.45222719557789254,-0.151,136.2998,136.947,"Mar 14, 17",136.1527,136.6038,15309065,15309065,136.4167
2017-03-15,1.4415,0.46758587917409383,1.058,137.7413,138.0258,"Mar 15, 17",136.3341,136.7117,25691774,25691774,137.2632
2017-03-16,0.225548,0.46998956909383244,0.164,137.9669,138.2905,"Mar 16, 17",137.5452,137.9963,19231998,19231998,137.904
2017-03-17,-0.686451,0.4626751491917911,-0.498,137.2804,138.2709,"Mar 17, 17",137.1824,138.2709,43884952,43884952,137.7536
2017-03-20,1.4415,0.4780348982533827,1.05,138.722,138.7612,"Mar 20, 17",137.5158,137.6825,21542038,21542038,138.3125
2017-03-21,-1.5886,0.46110784960316736,-1.145,137.1333,140.036,"Mar 21, 17",137.0255,139.3594,39529912,39529912,138.404
2017-03-22,1.5494,0.47761617035513043,1.13,138.6827,138.8593,"Mar 22, 17",137.0549,137.1382,25860165,25860165,138.1346
2017-03-23,-0.490323,0.4723921935481808,-0.354,138.1924,138.844,"Mar 23, 17",137.8884,138.5258,20346301,20346301,138.2707
2017-03-24,-0.274581,0.46946642558736446,-0.199,137.9178,138.9966,"Mar 24, 17",137.6335,138.7612,22395563,22395563,138.3457
2017-03-27,0.235354,0.4719745311153185,0.171,138.1532,138.4866,"Mar 27, 17",135.9369,136.692,23575094,23575094,137.6784
2017-03-28,2.8635,0.50248413255668,2.073,141.0167,141.252,"Mar 28, 17",137.8982,138.1826,33374805,33374805,140.0775
2017-03-29,0.313807,0.5058275629503589,0.223,141.3305,141.6933,"Mar 29, 17",140.4185,140.899,29189955,29189955,141.0498
2017-03-30,-0.186322,0.5038426009288729,-0.132,141.1442,141.7031,"Mar 30, 17",140.7225,141.3991,21207252,21207252,141.1876
2017-03-31,-0.264775,0.501021248576272,-0.188,140.8794,141.4776,"Mar 31, 17",140.242,140.9382,19661651,19661651,141.0289
2017-04-03,0.039226,0.5014389110091342,0.028,140.9186,141.3305,"Apr 3, 17",140.2812,140.9284,19985714,19985714,140.8609
2017-04-04,1.0493,0.512618839345932,0.745,141.9679,142.0856,"Apr 4, 17",140.3989,140.4773,19891354,19891354,141.4697
2017-04-05,-0.735483,0.5047823414028132,-0.518,141.2324,142.6446,"Apr 5, 17",141.0265,141.4286,27717854,27717854,141.9905
2017-04-06,-0.353033,0.501021248576272,-0.25,140.8794,141.7227,"Apr 6, 17",140.6735,141.4972,21149034,21149034,141.1428
2017-04-07,-0.313806,0.497677818182593,-0.223,140.5656,141.3893,"Apr 7, 17",140.4969,140.948,16658543,16658543,140.9263
2017-04-10,-0.16671,0.4959016873775381,-0.119,140.3989,141.0943,"Apr 10, 17",140.1341,140.8206,18933397,18933397,140.5913
2017-04-11,-1.5102,0.4798110290584376,-1.076,138.8887,140.5754,"Apr 11, 17",137.3491,140.1733,30379376,30379376,138.6866
2017-04-12,0.166709,0.4815871598634925,0.12,139.0554,139.3986,"Apr 12, 17",138.2807,138.8593,20350000,20350000,138.7999
